category_group,name,count,first_mentioned_in,example_note
Plumbing Fixtures,shower heads,1,July 21.pdf,"- Replace toilets, shower heads, and rebuild faucets"
Other,soil boring study,1,July 21.pdf,"- Suggested to reach the goal by doing a Geo Tech review, Structural engineer review, and Soil boring study"
Plumbing Fixtures,sprinkler system,1,January 24.pdf,"Passed the fire, security, and sprinkler alarm inspections"
Other,store trips,1,October 22.pdf,Issues with store trips and other activities at Attick Towers
Other,storm drain,1,February 20.pdf,"County, Storm drain management, Proposal for parking permits, Code enforcement inspection, Re inspection of emergency items"
Other,structural engineer review,1,July 21.pdf,"- Suggested to reach the goal by doing a Geo Tech review, Structural engineer review, and Soil boring study"
Plumbing Fixtures,toilet,1,July 21.pdf,"- Replace toilets, shower heads, and rebuild faucets"
Plumbing Fixtures,toilets,1,July 21.pdf,"- Replace toilets, shower heads, and rebuild faucets"
Services,towing services,1,March 23.pdf,"Perez discussed the live in courtesy officer, weekend security officer, and the towing services."
Small Equipment,trash chute,1,February 23.pdf,Trash chute proposal
Big Equipment,washer,1,October 25.pdf,"approve the payment of invoices for TK Elevators, Insurance, Contract Administrator, Kelly Benefits, New washer and dryers, Contract Administrator, and Office Supplies"
Services,water bills,1,July 21.pdf,- Reviewed water bills at Attick Towers for errors (none were discovered) | - Goal to bring water bill down 32%
Services,water treatment,1,November 20.pdf,"employee designations, rental of office space, rental revenue, maintenance and operational materials, contract costs, back up information for insurance rates, water treatment (cooling tower), Covid expenses, employee benefits, HVAC and plumbing upgrades."
Services,wifi internet,1,April 21.pdf,Comcast: Concerning the follow up of WIFI internet services.
